#   ix    iy    iz      toten(eV)
    24    22     0     -20038.937419037571
    25    22     0     -20038.916604776117
    26    22     0     -20038.892321471089
    27    22     0     -20038.880064646382
    28    22     0     -20038.887946968636
    29    22     0     -20038.911306447102
    30    22     0     -20038.936122006846
    31    22     0     -20038.948292571458
     0    23     0     -20038.943677928521
     1    23     0     -20038.927971788497
     2    23     0     -20038.895579082193
     3    23     0     -20038.865050764020
     4    23     0     -20038.854747172620
     5    23     0     -20038.870791686233
     6    23     0     -20038.902811324428
     7    23     0     -20038.930885855847
     8    23     0     -20038.938052382586
     9    23     0     -20038.919260471357
    10    23     0     -20038.883594779520
    11    23     0     -20038.849836061629
    12    23     0     -20038.835630221383
    13    23     0     -20038.846368106508
    14    23     0     -20038.871081215384
    15    23     0     -20038.890551642529
    16    23     0     -20038.890542526715
    17    23     0     -20038.871078358188
    18    23     0     -20038.846362936343
    19    23     0     -20038.835623554594
    20    23     0     -20038.849779325887
    21    23     0     -20038.883607840984
    22    23     0     -20038.919272988598
    23    23     0     -20038.938045307626
    24    23     0     -20038.930879189058
    25    23     0     -20038.902802208613
    26    23     0     -20038.870781890135
    27    23     0     -20038.854742138512
    28    23     0     -20038.865046954426
    29    23     0     -20038.895572415404
    30    23     0     -20038.927963216905
    31    23     0     -20038.943677792464
     0    24     0     -20038.926094474959
     1    24     0     -20038.909968463238
     2    24     0     -20038.876675332165
     3    24     0     -20038.845357611681
     4    24     0     -20038.834820546585
     5    24     0     -20038.851440853130
     6    24     0     -20038.884399012040
     7    24     0     -20038.913282265854
     8    24     0     -20038.920896011728
     9    24     0     -20038.902453766812
    10    24     0     -20038.867911088884
    11    24     0     -20038.836893509986
    12    24     0     -20038.827442043144
    13    24     0     -20038.843941395084
    14    24     0     -20038.873780584901
    15    24     0     -20038.896216917085
    16    24     0     -20038.896215012290
    17    24     0     -20038.873783306037
    18    24     0     -20038.843946701305
    19    24     0     -20038.827430750422
    20    24     0     -20038.836888339825
    21    24     0     -20038.867911497055
    22    24     0     -20038.902447236083
    23    24     0     -20038.920895059331
    24    24     0     -20038.913294102811
    25    24     0     -20038.884390440453
    26    24     0     -20038.851453370371
    27    24     0     -20038.834820002357
    28    24     0     -20038.845353393914
    29    24     0     -20038.876685944608
    30    24     0     -20038.909967102671
    31    24     0     -20038.926095971583
     0    25     0     -20038.910108873992
     1    25     0     -20038.897142240276
     2    25     0     -20038.870336031574
     3    25     0     -20038.845038150008
     4    25     0     -20038.836425474143
     5    25     0     -20038.849687623519
     6    25     0     -20038.875928379613
     7    25     0     -20038.898841727401
     8    25     0     -20038.904575302546
     9    25     0     -20038.889474887976
    10    25     0     -20038.861995197458
    11    25     0     -20038.838219384783
    12    25     0     -20038.832879422345
    13    25     0     -20038.849125980505
    14    25     0     -20038.875848922366
    15    25     0     -20038.895527380559
    16    25     0     -20038.895528877183
    17    25     0     -20038.875832867649
    18    25     0     -20038.849115232006
    19    25     0     -20038.832873980067
    20    25     0     -20038.838227820313
    21    25     0     -20038.861995605632
    22    25     0     -20038.889488493667
    23    25     0     -20038.904569043923
    24    25     0     -20038.898829890451
    25    25     0     -20038.875930828639
    26    25     0     -20038.849649527576
    27    25     0     -20038.836411732394
    28    25     0     -20038.845036925493
    29    25     0     -20038.870332902261
    30    25     0     -20038.897130539382
    31    25     0     -20038.910115676837
     0    26     0     -20038.903712429485
     1    26     0     -20038.896857745232
     2    26     0     -20038.882475167033
     3    26     0     -20038.868568924150
     4    26     0     -20038.863418080848
     5    26     0     -20038.869960242326
     6    26     0     -20038.883550424958
     7    26     0     -20038.895304519305
     8    26     0     -20038.897864566523
     9    26     0     -20038.889175154553
