#   ix    iy    iz      toten(eV)
    15    19     0     -20040.863113467029
    16    19     0     -20040.863109113205
    17    19     0     -20040.877582441382
    18    19     0     -20040.902223031913
    19    19     0     -20040.928057522015
    20    19     0     -20040.945168585913
    21    19     0     -20040.949882278295
    22    19     0     -20040.950029083724
    23    19     0     -20040.959492523572
    24    19     0     -20040.985246467972
    25    19     0     -20041.020614603302
    26    19     0     -20041.051704972659
    27    19     0     -20041.067127570041
    28    19     0     -20041.063644784714
    29    19     0     -20041.046915360508
    30    19     0     -20041.029287280271
    31    19     0     -20041.023899697910
     0    20     0     -20041.072533792201
     1    20     0     -20041.069937825956
     2    20     0     -20041.069566526592
     3    20     0     -20041.069049646310
     4    20     0     -20041.066739127502
     5    20     0     -20041.061497126058
     6    20     0     -20041.052421448458
     7    20     0     -20041.039754820275
     8    20     0     -20041.025388977079
     9    20     0     -20041.009634945007
    10    20     0     -20040.988841228154
    11    20     0     -20040.959187075761
    12    20     0     -20040.922601775124
    13    20     0     -20040.887129284132
    14    20     0     -20040.860952746905
    15    20     0     -20040.847803116616
    16    20     0     -20040.847810871859
    17    20     0     -20040.860963223287
    18    20     0     -20040.887109147705
    19    20     0     -20040.922597013134
    20    20     0     -20040.959196735806
    21    20     0     -20040.988864766005
    22    20     0     -20041.009648686759
    23    20     0     -20041.025411834642
    24    20     0     -20041.039765568774
    25    20     0     -20041.052430292162
    26    20     0     -20041.061548555575
    27    20     0     -20041.066765386491
    28    20     0     -20041.069099987373
    29    20     0     -20041.069581628908
    30    20     0     -20041.069968574822
    31    20     0     -20041.072523043706
     0    21     0     -20041.119101998054
     1    21     0     -20041.108556769545
     2    21     0     -20041.090419156099
     3    21     0     -20041.073096931839
     4    21     0     -20041.065583051757
     5    21     0     -20041.071196080455
     6    21     0     -20041.084193871207
     7    21     0     -20041.093920717281
     8    21     0     -20041.091271688831
     9    21     0     -20041.071841534536
    10    21     0     -20041.036313804427
    11    21     0     -20040.990918681437
    12    21     0     -20040.946530515794
    13    21     0     -20040.913667188564
    14    21     0     -20040.896065775487
    15    21     0     -20040.889839130028
    16    21     0     -20040.889838993975
    17    21     0     -20040.896058972641
    18    21     0     -20040.913699842229
    19    21     0     -20040.946532556649
