#   ix    iy    iz      toten(eV)
    18    22     0     -20040.064479689248
    19    22     0     -20040.051171416577
    20    22     0     -20040.054525628100
    21    22     0     -20040.072156293423
    22    22     0     -20040.092839804161
    23    22     0     -20040.104310355866
    24    22     0     -20040.100198171178
    25    22     0     -20040.083237586241
    26    22     0     -20040.063646748717
    27    22     0     -20040.053502479979
    28    22     0     -20040.059075235826
    29    22     0     -20040.076639641418
    30    22     0     -20040.094990047906
    31    22     0     -20040.102539847019
     0    23     0     -20040.097114712942
     1    23     0     -20040.086967314899
     2    23     0     -20040.062384684621
     3    23     0     -20040.038442474317
     4    23     0     -20040.030009257549
     5    23     0     -20040.042067847306
     6    23     0     -20040.066346662461
     7    23     0     -20040.087017383852
     8    23     0     -20040.090669423997
     9    23     0     -20040.073827888878
    10    23     0     -20040.045033344180
    11    23     0     -20040.020777794765
    12    23     0     -20040.015932807448
    13    23     0     -20040.033593949516
    14    23     0     -20040.062110393847
    15    23     0     -20040.083025881660
    16    23     0     -20040.083025473486
    17    23     0     -20040.062112162588
    18    23     0     -20040.033626331067
    19    23     0     -20040.015932127160
    20    23     0     -20040.020787046637
    21    23     0     -20040.045050623412
    22    23     0     -20040.073821902377
    23    23     0     -20040.090667111028
    24    23     0     -20040.087011805514
    25    23     0     -20040.066348023029
    26    23     0     -20040.042069343934
    27    23     0     -20040.030006536414
    28    23     0     -20040.038451998305
    29    23     0     -20040.062363731853
    30    23     0     -20040.086953981321
    31    23     0     -20040.097103828390
     0    24     0     -20040.081449117883
     1    24     0     -20040.071241990845
     2    24     0     -20040.046042750557
     3    24     0     -20040.021328145056
     4    24     0     -20040.012286209574
     5    24     0     -20040.024007106029
     6    24     0     -20040.047909315592
     7    24     0     -20040.067645325867
     8    24     0     -20040.069529306191
     9    24     0     -20040.050242147736
    10    24     0     -20040.019019803160
    11    24     0     -20039.993289668721
    12    24     0     -20039.988614616508
    13    24     0     -20040.007932795947
    14    24     0     -20040.038618395931
    15    24     0     -20040.060992550101
    16    24     0     -20040.060989556849
    17    24     0     -20040.038632273739
    18    24     0     -20040.007922863791
    19    24     0     -20039.988623324152
    20    24     0     -20039.993286539411
    21    24     0     -20040.019046470319
    22    24     0     -20040.050242964076
    23    24     0     -20040.069530802823
    24    24     0     -20040.067641380218
    25    24     0     -20040.047903329090
    26    24     0     -20040.024005609404
    27    24     0     -20040.012279814899
    28    24     0     -20040.021321614320
    29    24     0     -20040.046038804903
    30    24     0     -20040.071237637021
    31    24     0     -20040.081447077027
     0    25     0     -20040.067648047003
     1    25     0     -20040.060134166921
     2    25     0     -20040.040453803933
     3    25     0     -20040.020800516275
     4    25     0     -20040.013152892228
     5    25     0     -20040.021481345157
     6    25     0     -20040.039042213270
     7    25     0     -20040.052980701650
     8    25     0     -20040.052537428168
     9    25     0     -20040.035331124414
    10    25     0     -20040.009068463150
    11    25     0     -20039.988002904545
    12    25     0     -20039.984656720379
    13    25     0     -20040.001107227876
    14    25     0     -20040.026886750980
    15    25     0     -20040.045615803905
    16    25     0     -20040.045615123621
    17    25     0     -20040.026879812074
    18    25     0     -20040.001102737999
    19    25     0     -20039.984689646157
    20    25     0     -20039.987994060844
    21    25     0     -20040.009051183923
    22    25     0     -20040.035333573440
    23    25     0     -20040.052503686045
    24    25     0     -20040.052961925794
    25    25     0     -20040.039049424289
    26    25     0     -20040.021476991333
    27    25     0     -20040.013167042147
    28    25     0     -20040.020800108105
    29    25     0     -20040.040453531819
    30    25     0     -20040.060129540983
    31    25     0     -20040.067642332615
     0    26     0     -20040.061575554053
     1    26     0     -20040.058999180001
     2    26     0     -20040.049881596871
     3    26     0     -20040.039945359182
     4    26     0     -20040.035045404860
     5    26     0     -20040.037282725036
     6    26     0     -20040.043554269283
     7    26     0     -20040.047831627086
     8    26     0     -20040.045190353881
     9    26     0     -20040.034716963426
    10    26     0     -20040.020245812168
    11    26     0     -20040.008958257036
    12    26     0     -20040.007319451299
    13    26     0     -20040.016320161529
    14    26     0     -20040.030305181375
    15    26     0     -20040.040458838041
    16    26     0     -20040.040464960603
    17    26     0     -20040.030305861659
    18    26     0     -20040.016314583194
    19    26     0     -20040.007312920570
    20    26     0     -20040.008953631099
    21    26     0     -20040.020246900618
    22    26     0     -20040.034711793265
    23    26     0     -20040.045190898109
    24    26     0     -20040.047821150703
    25    26     0     -20040.043557126475
    26    26     0     -20040.037272384710
    27    26     0     -20040.035047173598
    28    26     0     -20040.039935563083
    29    26     0     -20040.049874794022
    30    26     0     -20040.058992921382
    31    26     0     -20040.061568070920
     0    27     0     -20040.058521075945
     1    27     0     -20040.062058147985
     2    27     0     -20040.066033867573
     3    27     0     -20040.067899208101
     4    27     0     -20040.066225843904
